PM2.5,PM10,NO,NO2,NH3,CO,SO2,Actual,Predicted
-0.47204447998008997,0.11957034770622964,-0.6346895423209848,0.25711975866695214,-0.2812117111545543,-0.20273147182474213,-0.12221878573337461,1,0
-0.29527327489988997,-1.21473487064446,-0.7101408868395627,-0.8819921608924625,-0.16738693751607148,-0.2655354003373689,-0.6781116342891016,0,0
-0.5301654393252603,-0.45485669270269513,-0.4981585379540347,0.005165380767993623,-0.41548937380620193,-0.18274840366163364,-0.4152520722893685,3,0
0.2001998757608707,-0.2132201469766426,-0.5363333253592676,0.08778678391018468,-0.2620927062074654,-0.1756115936033806,-0.16980042830286274,1,0
-0.010930128490231186,0.38831733514788813,0.30755403386934893,-0.5224663521697603,-0.9445967200163368,-0.09282459692764537,-0.5649601672031238,1,0
-0.6746650620066227,-1.028366954889353,-0.7420280622015806,-1.0689128600804885,-0.8405537628624111,-0.2997920886169835,-0.1901096659849613,0,0
0.0727190975286463,0.4801261256920413,-0.3283930127872349,0.888232753956064,-0.07846133311100681,-0.19844938578979035,-0.10945297919034128,1,0
-0.29928715330770556,-0.2132201469766426,-0.42764746004084003,-0.38912685996998675,-0.2620927062074654,-0.14991907739366966,-0.5342061787130888,3,0
-0.29527327489988997,0.06744495735448494,-0.47031339890551194,-0.8803560935035082,-0.6733736265808895,-0.27409957240727256,1.2344382914308107,1,0
-0.948893234828586,-1.2125084092475265,-0.49321827134865165,-0.6676673329394524,-0.4799604369998739,-0.28980055453542924,-0.6218260327129999,0,0
-0.2564189319122347,-0.2604997095821197,-0.6409771543641997,-0.16375857714153533,-0.7885322842854484,-0.26125331430241705,-0.7100261506466851,3,0
-0.7944391936958408,-0.9831828853633432,-0.6598399904938441,-0.6815739057455636,-0.8903521013292474,-0.21557772992959764,-0.41989418375956244,3,0
-0.7783836800645783,-0.8959579859305243,-0.7285546078232631,-0.9871094906327746,-0.6204628919598761,-0.19844938578979035,-0.40422705754765786,3,0
1.2739926274197062,1.155922643820188,0.7283749256187972,0.8056113508138733,0.761441000494829,-0.14420962934706724,-0.2510373790312571,5,0
0.36027334666455774,1.01277427282909,-0.19051466298245293,-0.8443626109465141,2.308301889120929,-0.1356454572771636,-0.20229520859422048,2,0
0.5706005752340962,2.091691272119725,0.08344557604333523,0.24607630379151094,-0.2620927062074654,-0.2698174863723207,-0.3160269396139726,2,0
-0.8585006930845782,-0.9708718635214739,-0.6760081357478251,-0.8709487060170211,-0.6480298293254461,-0.2641080383257183,0.27700280070330613,3,0
0.9143491220794262,-0.2132201469766426,-0.11057216700443608,1.2039937600242392,-0.2620927062074654,-0.10138876899754902,-0.2806308396537436,2,0
0.8260437971074825,-0.2132201469766426,-0.32524920676562746,-0.3629497817467185,-0.2620927062074654,-0.18703048969658548,-0.5951338917593845,5,0
0.8260437971074825,-0.2132201469766426,-0.5210634103971744,-0.43166461208279805,-0.2620927062074654,-0.2583985902791159,0.43599511855744927,5,0
-0.32031987616465946,-0.2132201469766426,-0.37016072136001893,-0.5040605940440247,3.2851496535105644,-0.1941672997548385,-0.18952940205118707,1,0
0.5614489324642767,0.9653637419061465,-0.013563295480550425,0.6043750619724972,0.07404607844367911,-0.1913125757315373,-0.06593318415727288,1,0
